name,matric_no,department,course,year,prev_gpa,prev_cgpa,attendance,test_score,assignment,exam_score,total_200,gp_200,new_cgpa,current_class,predicted_grad_class
Amaka Gana,250501727,COMPUTER SCIENCE,CHM 207,200 Level,4.08,4.08,8,14,1,33,56,3.0,3.54,Second Class Upper,Second Class Lower
Amaka Gana,250502914,COMPUTER SCIENCE,MTH 201,200 Level,2.52,2.52,4,13,4,2,23,0.0,1.26,Pass,Fail
Amaka Gana,250502494,CYBERSECURITY,CSC 201,200 Level,3.22,3.22,1,17,9,28,55,3.0,3.11,Second Class Lower,Second Class Lower
Amaka Gana,250502395,CYBERSECURITY,GST 209,200 Level,4.23,4.23,8,15,5,27,55,3.0,3.62,Second Class Upper,Second Class Lower
Amaka Garba,250501335,COMPUTER SCIENCE,CHM 207,200 Level,0.68,0.68,0,18,9,7,34,0.0,0.34,Fail,Fail
Amaka Hassan,250502306,COMPUTER SCIENCE,PHY 201,200 Level,3.71,3.71,9,0,6,17,32,0.0,1.86,Third Class,Fail
Amaka Hassan,250501026,ICT,PHY 201,200 Level,1.4,1.4,7,16,1,53,77,5.0,3.2,Second Class Lower,Second Class Upper
Amaka Ikenna,250502175,CYBERSECURITY,GST 209,200 Level,2.93,2.93,4,5,10,24,43,1.0,1.96,Third Class,Pass
Amaka Ikenna,250502335,CYBERSECURITY,PHY 201,200 Level,3.43,3.43,0,7,6,56,69,4.0,3.72,Second Class Upper,Second Class Upper
Amaka James,250502421,ICT,MTH 223,200 Level,2.78,2.78,5,14,0,25,44,1.0,1.89,Third Class,Pass
Amaka James,250502771,ICT,MTH 201,200 Level,4.03,4.03,0,5,1,58,64,4.0,4.02,Second Class Upper,Second Class Upper
Amaka James,250502601,CYBERSECURITY,CHM 207,200 Level,1.96,1.96,9,19,9,12,49,2.0,1.98,Third Class,Third Class
Amaka Kalu,250501563,CYBERSECURITY,PHY 201,200 Level,0.57,0.57,3,1,6,12,22,0.0,0.28,Fail,Fail
Amaka Lawal,250501489,ICT,PHY 205,200 Level,4.51,4.51,2,14,6,60,82,5.0,4.76,First Class,First Class
Amaka Lawal,250502656,CYBERSECURITY,CHM 207,200 Level,2.99,2.99,6,9,7,45,67,4.0,3.5,Second Class Upper,Second Class Upper
Amaka Lawal,250502979,ICT,MTH 201,200 Level,4.29,4.29,2,12,7,40,61,4.0,4.14,Second Class Upper,Second Class Upper
Amaka Lawal,250501238,COMPUTER SCIENCE,MTH 201,200 Level,3.4,3.4,1,4,8,36,49,2.0,2.7,Second Class Lower,Third Class
Amaka Lawal,250502639,ICT,MTH 201,200 Level,4.67,4.67,7,17,1,45,70,5.0,4.84,First Class,First Class
Amaka Musa,250502927,COMPUTER SCIENCE,MTH 201,200 Level,2.66,2.66,5,15,2,57,79,5.0,3.83,Second Class Upper,First Class
Amaka Musa,250501188,CYBERSECURITY,PHY 201,200 Level,2.88,2.88,8,12,10,60,90,5.0,3.94,Second Class Upper,First Class
Amaka Nwachukwu,250501494,ICT,GST 209,200 Level,2.59,2.59,1,17,3,29,50,3.0,2.8,Second Class Lower,Second Class Lower
Amaka Nwachukwu,250502110,ICT,CHM 201,200 Level,4.17,4.17,4,7,8,8,27,0.0,2.08,Third Class,Fail
Amaka Nwosu,250501665,COMPUTER SCIENCE,MTH 223,200 Level,1.19,1.19,0,6,2,60,68,4.0,2.6,Second Class Lower,Second Class Lower
Amaka Nwosu,250502034,COMPUTER SCIENCE,PHY 205,200 Level,0.85,0.85,2,2,8,33,45,2.0,1.42,Pass,Third Class
Amaka Nwosu,250501842,CYBERSECURITY,CSC 201,200 Level,1.3,1.3,5,6,5,40,56,3.0,2.15,Third Class,Second Class Lower
Amaka Nwosu,250501999,COMPUTER SCIENCE,GST 211,200 Level,2.51,2.51,8,6,8,27,49,2.0,2.26,Third Class,Third Class
Amaka Nwosu,250502760,CYBERSECURITY,PHY 201,200 Level,2.54,2.54,6,9,1,16,32,0.0,1.27,Pass,Fail
Amaka Nwosu,250501082,ICT,CHM 201,200 Level,1.99,1.99,5,6,9,51,71,5.0,3.5,Second Class Upper,Second Class Upper
Amaka Okafor,250502899,CYBERSECURITY,PHY 201,200 Level,4.03,4.03,9,16,0,24,49,2.0,3.02,Second Class Lower,Third Class
Amaka Okafor,250501644,ICT,CHM 207,200 Level,1.04,1.04,4,15,3,38,60,4.0,2.52,Second Class Lower,Second Class Lower
Amaka Okafor,250502720,ICT,CHM 201,200 Level,1.14,1.14,10,18,9,16,53,3.0,2.07,Third Class,Second Class Lower
Amaka Okafor,250502027,CYBERSECURITY,GST 209,200 Level,4.3,4.3,6,18,6,21,51,3.0,3.65,Second Class Upper,Second Class Lower
Amaka Okafor,250502946,ICT,CHM 207,200 Level,2.48,2.48,10,11,1,13,35,0.0,1.24,Pass,Fail
Amaka Okafor,250502397,COMPUTER SCIENCE,CHM 201,200 Level,1.62,1.62,7,6,8,55,76,5.0,3.31,Second Class Lower,Second Class Upper
Amaka Okafor,250501331,CYBERSECURITY,CHM 207,200 Level,3.91,3.91,5,16,1,24,46,2.0,2.96,Second Class Lower,Third Class
Amaka Okafor,250501201,COMPUTER SCIENCE,CSC 201,200 Level,0.88,0.88,1,13,4,10,28,0.0,0.44,Fail,Fail
Amaka Okonkwo,250501155,CYBERSECURITY,PHY 201,200 Level,1.59,1.59,2,16,3,20,41,1.0,1.3,Pass,Pass
Amaka Okonkwo,250501430,COMPUTER SCIENCE,GST 209,200 Level,1.14,1.14,7,15,5,19,46,2.0,1.57,Third Class,Third Class
Amaka Okonkwo,250501677,ICT,PHY 201,200 Level,2.29,2.29,6,4,9,30,49,2.0,2.14,Third Class,Third Class
Amaka Okonkwo,250501929,COMPUTER SCIENCE,CHM 207,200 Level,1.66,1.66,0,14,3,8,25,0.0,0.83,Fail,Fail
Amaka Okonkwo,250501719,COMPUTER SCIENCE,GST 209,200 Level,3.79,3.79,9,3,8,57,77,5.0,4.39,Second Class Upper,First Class
Amaka Okoro,250501097,ICT,MTH 223,200 Level,2.42,2.42,0,17,9,20,46,2.0,2.21,Third Class,Third Class
Amaka Okoro,250501318,ICT,CHM 201,200 Level,1.2,1.2,8,18,10,22,58,3.0,2.1,Third Class,Second Class Lower
Amaka Okoro,250502355,COMPUTER SCIENCE,PHY 205,200 Level,4.43,4.43,1,1,5,18,25,0.0,2.22,Third Class,Fail
Amaka Peters,250502984,ICT,CSC 201,200 Level,1.1,1.1,8,20,10,49,87,5.0,3.05,Second Class Lower,Second Class Upper
Amaka Raji,250501973,ICT,GST 209,200 Level,1.47,1.47,9,18,8,1,36,0.0,0.74,Fail,Fail
Amaka Raji,250501761,ICT,GST 209,200 Level,1.9,1.9,2,13,4,42,61,4.0,2.95,Second Class Lower,Second Class Upper
Amaka Salisu,250502629,COMPUTER SCIENCE,CHM 201,200 Level,2.53,2.53,1,4,4,18,27,0.0,1.26,Pass,Fail
Amaka Salisu,250502334,ICT,PHY 201,200 Level,4.89,4.89,8,20,5,31,64,4.0,4.44,Second Class Upper,Second Class Upper
Amaka Usman,250501296,CYBERSECURITY,MTH 223,200 Level,3.96,3.96,2,7,3,42,54,3.0,3.48,Second Class Lower,Second Class Lower
Amaka Usman,250501268,ICT,MTH 223,200 Level,2.12,2.12,0,14,2,59,75,5.0,3.56,Second Class Upper,Second Class Upper
Blessing Adeola,250501781,ICT,CSC 201,200 Level,2.94,2.94,6,1,5,5,17,0.0,1.47,Pass,Fail
Blessing Adeola,250501198,COMPUTER SCIENCE,MTH 223,200 Level,4.49,4.49,8,7,6,17,38,0.0,2.24,Third Class,Fail
Blessing Adeola,250501441,ICT,PHY 201,200 Level,4.94,4.94,0,8,0,59,67,4.0,4.47,Second Class Upper,Second Class Upper
Blessing Adeyemi,250502430,ICT,CHM 207,200 Level,2.55,2.55,10,2,8,47,67,4.0,3.28,Second Class Lower,Second Class Upper
Blessing Babatunde,250502338,COMPUTER SCIENCE,CSC 201,200 Level,0.82,0.82,8,12,0,55,75,5.0,2.91,Second Class Lower,Second Class Upper
Blessing Babatunde,250502322,COMPUTER SCIENCE,CHM 201,200 Level,4.42,4.42,0,14,7,30,51,3.0,3.71,Second Class Upper,Second Class Lower
Blessing Babatunde,250502452,COMPUTER SCIENCE,PHY 201,200 Level,4.41,4.41,0,20,4,18,42,1.0,2.7,Second Class Lower,Third Class
Blessing Babatunde,250502915,ICT,PHY 201,200 Level,3.75,3.75,3,3,4,22,32,0.0,1.88,Third Class,Fail
Blessing Bello,250502928,ICT,GST 209,200 Level,3.39,3.39,8,6,6,34,54,3.0,3.2,Second Class Lower,Second Class Lower
Blessing Bello,250501587,COMPUTER SCIENCE,CHM 207,200 Level,1.08,1.08,4,3,2,34,43,1.0,1.04,Pass,Pass
Blessing Bello,250502861,COMPUTER SCIENCE,MTH 223,200 Level,3.45,3.45,6,20,6,48,80,5.0,4.22,Second Class Upper,First Class
Blessing Bello,250502157,CYBERSECURITY,PHY 205,200 Level,4.46,4.46,0,18,0,4,22,0.0,2.23,Third Class,Fail
Blessing Bello,250501935,ICT,CSC 201,200 Level,1.73,1.73,0,7,0,25,32,0.0,0.86,Fail,Fail
Blessing Bello,250501254,CYBERSECURITY,CHM 207,200 Level,1.26,1.26,5,16,3,15,39,0.0,0.63,Fail,Fail
Blessing Chukwu,250501464,CYBERSECURITY,GST 209,200 Level,4.83,4.83,3,14,8,57,82,5.0,4.92,First Class,First Class
Blessing Chukwu,250501623,CYBERSECURITY,CHM 201,200 Level,2.68,2.68,4,13,9,14,40,1.0,1.84,Third Class,Pass
Blessing Danladi,250502303,COMPUTER SCIENCE,CHM 201,200 Level,2.94,2.94,8,7,5,56,76,5.0,3.97,Second Class Upper,First Class
Blessing Dikko,250502933,COMPUTER SCIENCE,CSC 201,200 Level,3.22,3.22,6,6,7,28,47,2.0,2.61,Second Class Lower,Third Class
Blessing Ejike,250502028,COMPUTER SCIENCE,MTH 223,200 Level,1.94,1.94,9,0,6,19,34,0.0,0.97,Fail,Fail
Blessing Ejike,250502178,ICT,GST 209,200 Level,3.92,3.92,3,5,8,25,41,1.0,2.46,Third Class,Third Class
Blessing Eze,250501472,COMPUTER SCIENCE,CHM 207,200 Level,0.69,0.69,9,13,9,51,82,5.0,2.84,Second Class Lower,Second Class Upper
Blessing Fashola,250501375,CYBERSECURITY,GST 211,200 Level,1.94,1.94,5,20,10,59,94,5.0,3.47,Second Class Lower,Second Class Upper
Blessing Fashola,250502325,ICT,CSC 201,200 Level,2.02,2.02,1,9,9,12,31,0.0,1.01,Pass,Fail
Blessing Fashola,250502386,ICT,CHM 201,200 Level,3.98,3.98,9,11,4,50,74,5.0,4.49,Second Class Upper,First Class
Blessing Gana,250502473,CYBERSECURITY,GST 211,200 Level,2.32,2.32,1,18,7,35,61,4.0,3.16,Second Class Lower,Second Class Upper
Blessing Gana,250501252,CYBERSECURITY,MTH 223,200 Level,4.33,4.33,9,20,9,15,53,3.0,3.66,Second Class Upper,Second Class Lower
Blessing Hassan,250502416,COMPUTER SCIENCE,CSC 201,200 Level,0.68,0.68,5,4,3,1,13,0.0,0.34,Fail,Fail
Blessing Hassan,250501258,ICT,CHM 201,200 Level,3.07,3.07,4,14,7,27,52,3.0,3.04,Second Class Lower,Second Class Lower
Blessing Ikenna,250502975,COMPUTER SCIENCE,GST 209,200 Level,4.73,4.73,9,1,5,51,66,4.0,4.36,Second Class Upper,Second Class Upper
Blessing Ikenna,250501389,ICT,GST 211,200 Level,4.13,4.13,5,19,10,27,61,4.0,4.06,Second Class Upper,Second Class Upper
Blessing James,250501195,ICT,MTH 201,200 Level,2.07,2.07,9,1,9,0,19,0.0,1.03,Pass,Fail
Blessing Kalu,250502981,CYBERSECURITY,MTH 223,200 Level,4.11,4.11,1,17,9,12,39,0.0,2.06,Third Class,Fail
Blessing Kalu,250501734,CYBERSECURITY,MTH 201,200 Level,2.11,2.11,7,4,4,1,16,0.0,1.06,Pass,Fail
Blessing Kalu,250501301,ICT,CHM 201,200 Level,2.89,2.89,6,12,6,56,80,5.0,3.94,Second Class Upper,First Class
Blessing Lawal,250502870,CYBERSECURITY,GST 209,200 Level,4.18,4.18,9,4,3,27,43,1.0,2.59,Second Class Lower,Third Class
Blessing Lawal,250502575,ICT,GST 211,200 Level,0.93,0.93,1,7,4,51,63,4.0,2.46,Third Class,Second Class Lower
Blessing Madu,250502198,ICT,CHM 201,200 Level,3.87,3.87,7,12,8,27,54,3.0,3.44,Second Class Lower,Second Class Lower
Blessing Madu,250502235,COMPUTER SCIENCE,GST 209,200 Level,2.16,2.16,7,14,5,27,53,3.0,2.58,Second Class Lower,Second Class Lower
Blessing Madu,250502341,COMPUTER SCIENCE,GST 209,200 Level,2.58,2.58,5,4,9,44,62,4.0,3.29,Second Class Lower,Second Class Upper
Blessing Musa,250502910,ICT,GST 211,200 Level,1.88,1.88,5,3,7,26,41,1.0,1.44,Pass,Pass
Blessing Musa,250501261,ICT,CSC 201,200 Level,4.96,4.96,3,9,4,2,18,0.0,2.48,Third Class,Fail
Blessing Musa,250501686,ICT,GST 209,200 Level,3.07,3.07,10,6,9,13,38,0.0,1.54,Third Class,Fail
Blessing Nwachukwu,250502755,CYBERSECURITY,PHY 205,200 Level,4.11,4.11,4,13,2,43,62,4.0,4.06,Second Class Upper,Second Class Upper
Blessing Nwachukwu,250502976,COMPUTER SCIENCE,GST 211,200 Level,1.67,1.67,2,11,8,9,30,0.0,0.84,Fail,Fail
Blessing Nwachukwu,250501903,COMPUTER SCIENCE,GST 211,200 Level,3.12,3.12,4,13,9,34,60,4.0,3.56,Second Class Upper,Second Class Upper
Blessing Nwosu,250501191,ICT,CSC 201,200 Level,4.54,4.54,3,20,5,6,34,0.0,2.27,Third Class,Fail
Blessing Nwosu,250501447,COMPUTER SCIENCE,MTH 201,200 Level,3.89,3.89,0,11,7,12,30,0.0,1.94,Third Class,Fail
Blessing Nwosu,250501817,CYBERSECURITY,MTH 201,200 Level,2.3,2.3,10,8,5,1,24,0.0,1.15,Pass,Fail
Blessing Obi,250502107,COMPUTER SCIENCE,MTH 201,200 Level,3.91,3.91,0,5,4,0,9,0.0,1.96,Third Class,Fail
Blessing Obi,250502534,CYBERSECURITY,CHM 207,200 Level,2.36,2.36,9,12,8,26,55,3.0,2.68,Second Class Lower,Second Class Lower
Blessing Okafor,250502258,CYBERSECURITY,GST 209,200 Level,0.79,0.79,5,9,1,14,29,0.0,0.4,Fail,Fail
Blessing Okafor,250502202,CYBERSECURITY,PHY 201,200 Level,0.6,0.6,10,6,2,52,70,5.0,2.8,Second Class Lower,Second Class Upper
Blessing Okoro,250502827,COMPUTER SCIENCE,MTH 201,200 Level,4.86,4.86,6,13,5,49,73,5.0,4.93,First Class,First Class
Blessing Raji,250502377,ICT,CHM 207,200 Level,2.82,2.82,0,15,10,5,30,0.0,1.41,Pass,Fail
Blessing Usman,250501902,ICT,PHY 201,200 Level,1.32,1.32,1,18,10,19,48,2.0,1.66,Third Class,Third Class
Blessing Usman,250501159,ICT,CSC 201,200 Level,3.78,3.78,10,20,3,6,39,0.0,1.89,Third Class,Fail
Blessing Usman,250501588,COMPUTER SCIENCE,GST 209,200 Level,1.08,1.08,9,3,10,56,78,5.0,3.04,Second Class Lower,Second Class Upper
Blessing Usman,250501374,CYBERSECURITY,CSC 201,200 Level,0.82,0.82,3,8,3,9,23,0.0,0.41,Fail,Fail
Bola Adeola,250502935,COMPUTER SCIENCE,MTH 223,200 Level,4.12,4.12,5,12,3,54,74,5.0,4.56,First Class,First Class
Bola Adeola,250502160,COMPUTER SCIENCE,CHM 207,200 Level,4.22,4.22,0,12,3,34,49,2.0,3.11,Second Class Lower,Third Class
Bola Afolabi,250501372,ICT,GST 211,200 Level,0.92,0.92,6,2,8,60,76,5.0,2.96,Second Class Lower,Second Class Upper
