full_name,matric_number,age,gender,program,level,attendance_pct,test_scores,exam_scores,assignment_scores,gpa,study_hours_per_week,lms_activity,past_academic_record,class_participation,extracurricular,performance_score,performance_category
Stella Anikulapo,STU/2023/0013,26,Male,Undergraduate,300,56.7,54.1,27.4,61.0,2.77,18.8,14.9,67.2,Medium,1 Activity,42.9,Pass
Sola Fashola,STU/2020/0014,23,Female,Undergraduate,200,37.6,64.9,89.0,77.4,2.22,16.7,64.8,50.3,Low,2+ Activities,66.6,Good
Joy Aliyu,STU/2023/0015,20,Female,Undergraduate,400,70.5,52.9,89.8,63.8,3.14,16.9,69.0,46.4,Medium,1 Activity,64.5,Good
Bello Eze,STU/2020/0016,19,Male,Undergraduate,300,99.2,69.6,56.7,62.4,3.33,23.0,21.1,46.1,Medium,1 Activity,56.2,Average
Emeka Lawal,STU/2021/0017,23,Male,Undergraduate,400,78.4,46.7,19.6,23.8,2.7,14.6,49.0,72.3,Medium,1 Activity,47.9,Pass
Gbemi Adeyemi,STU/2018/0018,23,Female,Undergraduate,300,96.6,59.3,33.3,79.0,3.84,0.0,,28.1,High,2+ Activities,58.1,Average
Rasheed Fashola,STU/2020/0019,18,Male,Postgraduate,200,91.3,28.8,22.5,54.0,3.24,,68.2,51.8,Medium,1 Activity,49.5,Pass
Blessing Danjuma,STU/2019/0020,21,Male,Undergraduate,300,62.2,51.3,21.8,58.2,1.84,16.6,76.4,29.4,Medium,None,44.8,Pass
Ibrahim Garba,STU/2021/0021,20,Male,Undergraduate,200,58.3,68.2,95.5,46.8,4.2,12.0,41.6,75.4,High,None,67.3,Good
Ifeoma Adeleke,STU/2022/0022,17,Female,Undergraduate,200,59.0,39.4,96.2,38.8,3.69,7.3,60.0,53.3,High,None,56.2,Average
Amina Bakare,STU/2020/0023,23,Female,HND,400,41.1,52.2,32.6,90.0,3.9,11.1,69.3,70.9,High,None,56.4,Average
Bello Suleiman,STU/2023/0024,27,Male,Undergraduate,200,72.6,14.7,54.8,78.5,3.36,25.7,50.5,85.0,Medium,None,53.4,Average
Precious Onwudiwe,STU/2020/0025,29,Male,Undergraduate,400,19.7,33.4,29.3,78.8,0.9,6.6,44.5,85.3,Medium,1 Activity,38.1,Poor
Mercy Nwachukwu,STU/2023/0026,21,Male,Undergraduate,400,,38.1,54.7,61.3,3.98,0.1,72.8,39.6,Low,None,53.3,Average
Ahmed Aliyu,STU/2023/0027,17,Female,Postgraduate,400,73.3,59.8,87.8,35.5,3.05,2.3,50.6,66.2,Medium,1 Activity,57.0,Average
Kola Adeyemi,STU/2018/0028,27,Male,HND,500,80.5,64.0,76.6,100.0,3.32,13.7,25.1,82.4,High,1 Activity,63.4,Good
Joy Ibrahim,STU/2021/0029,20,Male,Undergraduate,200,91.0,57.0,71.2,72.2,3.49,27.4,89.3,73.9,Medium,None,68.6,Good
Mercy Ofili,STU/2023/0030,16,Female,HND,200,75.6,51.1,51.1,67.3,4.74,31.6,27.8,75.9,High,None,63.0,Good
Dauda Garba,STU/2018/0031,27,Male,HND,300,100.0,51.2,80.2,58.9,2.51,19.2,52.6,24.3,Medium,None,67.9,Good
Ahmed Bakare,STU/2018/0032,25,Female,HND,200,83.2,70.9,67.9,30.2,2.53,,63.0,73.6,Medium,None,58.1,Average
Sola Adeleke,STU/2023/0033,21,Male,Undergraduate,300,58.4,61.8,63.1,84.4,2.23,,66.4,44.1,High,2+ Activities,55.8,Average
Anthonia Mohammed,STU/2021/0034,28,Male,Undergraduate,400,67.7,52.0,52.7,47.0,2.04,21.0,,73.3,High,1 Activity,47.8,Pass
Amina Aliyu,STU/2019/0035,27,Male,Undergraduate,300,31.3,81.3,61.4,74.3,2.05,24.7,0.0,72.9,High,None,56.1,Average
Stella Nwachukwu,STU/2020/0036,24,Female,Postgraduate,200,55.8,93.1,60.8,78.1,1.33,8.9,37.4,71.8,High,1 Activity,56.2,Average
Sandra Ibrahim,STU/2018/0037,16,Female,Undergraduate,100,65.1,35.6,44.2,70.7,3.38,25.4,62.4,57.8,Medium,None,50.9,Average
Femi Aliyu,STU/2020/0038,26,Female,Undergraduate,200,81.8,67.4,39.5,73.0,4.79,12.2,52.3,86.3,Medium,1 Activity,60.6,Good
Ike Eze,STU/2021/0039,26,Male,Undergraduate,100,58.5,100.0,35.1,87.9,4.85,19.7,67.8,70.2,High,1 Activity,68.8,Good
Gbenga Anikulapo,STU/2019/0040,25,Female,Postgraduate,400,49.6,63.0,36.3,51.5,2.23,23.2,80.5,66.4,Medium,1 Activity,53.2,Average
Loveth Chukwu,STU/2022/0041,27,Male,Postgraduate,200,38.0,60.1,51.2,67.8,2.76,2.1,67.7,41.3,Low,None,41.6,Pass
Ibrahim Fashola,STU/2019/0042,27,Male,Undergraduate,100,61.3,57.0,47.9,61.2,4.11,17.6,36.8,67.9,Medium,None,61.0,Good
Vivian Ofili,STU/2021/0043,29,Female,Postgraduate,100,100.0,66.8,42.6,33.7,3.39,25.4,41.5,99.6,Medium,1 Activity,57.3,Average
Emeka Okonkwo,STU/2019/0044,29,Male,Undergraduate,300,76.9,71.6,41.1,69.9,3.12,9.5,95.8,32.2,Low,2+ Activities,56.3,Average
Kayode Fashola,STU/2022/0045,29,Male,Postgraduate,300,,35.6,60.8,86.3,2.77,5.5,50.5,74.6,Medium,2+ Activities,61.9,Good
Mary Fashola,STU/2018/0046,18,Male,Undergraduate,200,55.8,57.5,82.6,88.4,4.06,18.0,,77.1,Low,None,66.0,Good
Rasheed Mohammed,STU/2019/0047,27,Male,Undergraduate,100,43.7,17.1,54.8,96.6,2.03,15.1,67.7,94.5,Medium,1 Activity,46.3,Pass
Gbemi Okonkwo,STU/2023/0048,22,Male,HND,200,50.0,54.2,53.5,34.8,3.43,11.4,85.9,74.5,High,1 Activity,46.7,Pass
Adaeze Ofili,STU/2023/0049,19,Female,Undergraduate,200,70.3,41.8,36.3,92.7,3.31,14.0,32.5,60.2,Medium,2+ Activities,57.0,Average
Vivian Ibrahim,STU/2021/0050,24,Male,Postgraduate,300,,64.1,50.5,68.1,3.04,0.6,42.6,68.5,High,None,54.5,Average
Nkechi Nwachukwu,STU/2019/0051,18,Female,Undergraduate,300,53.9,28.2,78.8,92.2,3.71,17.2,14.9,54.6,Medium,1 Activity,56.4,Average
Biodun Okafor,STU/2022/0052,20,Female,Undergraduate,200,61.4,48.8,75.7,58.3,3.03,26.7,47.6,84.4,High,None,64.9,Good
Stella Onwudiwe,STU/2021/0053,18,Male,Undergraduate,100,48.2,75.4,74.4,56.0,2.52,8.3,69.2,29.0,Low,1 Activity,56.7,Average
Stella Anikulapo,STU/2019/0054,22,Male,Undergraduate,500,,45.8,73.7,44.3,3.08,7.4,45.9,50.2,Low,1 Activity,53.9,Average
Sandra Ofili,STU/2021/0055,20,Male,Undergraduate,200,77.2,23.7,63.7,78.2,1.57,15.4,99.0,68.9,High,2+ Activities,51.6,Average
Blessing Onwudiwe,STU/2023/0056,24,Female,Undergraduate,300,72.8,62.6,63.0,73.7,3.55,36.8,57.9,83.4,High,2+ Activities,63.3,Good
Joy Aliyu,STU/2022/0057,22,Male,Undergraduate,100,86.0,47.4,59.9,46.0,3.78,22.8,52.4,59.7,Low,1 Activity,55.3,Average
Patience Nwosu,STU/2018/0058,17,Female,Undergraduate,200,52.0,54.7,46.7,28.2,2.41,13.2,46.2,44.4,High,1 Activity,42.9,Pass
Ngozi Ibrahim,STU/2022/0059,19,Male,HND,100,85.7,44.9,56.7,72.1,2.19,14.3,21.0,55.8,Medium,None,57.3,Average
Musa Bello,STU/2018/0060,24,Female,HND,300,99.5,93.5,59.3,74.0,2.44,23.6,52.7,52.7,High,1 Activity,70.0,Good
Mary Anikulapo,STU/2020/0061,27,Male,Undergraduate,500,76.7,30.0,67.7,48.2,2.94,6.7,64.0,53.6,Medium,1 Activity,48.6,Pass
Abdul Aliyu,STU/2023/0062,29,Male,Postgraduate,200,61.0,100.0,57.0,44.8,3.19,18.9,52.0,51.3,Medium,None,60.8,Good
Rasheed Nwosu,STU/2023/0063,17,Female,Undergraduate,100,74.6,51.0,97.1,76.1,4.45,5.1,60.8,51.3,Medium,2+ Activities,67.8,Good
Amina Onwudiwe,STU/2023/0064,25,Female,Undergraduate,100,60.2,61.3,30.8,96.6,4.34,21.4,38.2,25.7,Medium,None,54.7,Average
Gbenga Danjuma,STU/2022/0065,24,Male,Postgraduate,200,57.2,47.7,70.1,56.6,3.75,11.6,23.9,66.0,Medium,1 Activity,54.9,Average
Gbenga Lawal,STU/2018/0066,25,Female,HND,100,84.3,46.9,54.2,50.0,3.11,15.6,52.3,73.5,Medium,2+ Activities,54.7,Average
Emeka Lawal,STU/2020/0067,20,Male,Undergraduate,100,69.5,43.9,55.0,70.1,2.17,,60.5,90.0,Low,2+ Activities,50.5,Average
Stella Okonkwo,STU/2020/0068,17,Female,Postgraduate,400,93.7,68.8,38.7,75.8,4.51,19.6,50.8,77.2,Low,2+ Activities,62.0,Good
Segun Okafor,STU/2020/0069,19,Female,Undergraduate,200,64.0,32.6,75.4,58.8,2.78,12.6,60.1,76.2,Low,None,56.8,Average
Grace Chukwu,STU/2021/0070,27,Male,HND,200,65.9,64.6,68.1,99.4,3.25,31.3,74.4,65.9,High,2+ Activities,72.4,Good
Uche Eze,STU/2022/0071,27,Male,Undergraduate,500,61.8,18.7,71.7,80.3,3.56,25.4,74.3,24.7,Medium,None,60.4,Good
Blessing Chukwu,STU/2022/0072,22,Male,Undergraduate,100,51.8,62.9,58.4,58.5,3.06,3.6,76.4,65.6,High,2+ Activities,55.4,Average
Uche Okeke,STU/2023/0073,27,Female,Undergraduate,500,86.7,73.3,48.5,37.9,4.04,15.5,80.1,62.2,High,1 Activity,57.1,Average
Ngozi Eze,STU/2022/0074,28,Female,Undergraduate,200,100.0,35.1,53.7,87.4,3.41,,67.4,80.6,Medium,2+ Activities,61.0,Good
Nkechi Adeyemi,STU/2022/0075,23,Male,Undergraduate,400,65.1,70.2,63.7,85.3,3.89,10.3,63.9,71.3,High,None,70.4,Good
Rasheed Okonkwo,STU/2021/0076,18,Male,HND,300,59.8,58.9,14.9,59.9,3.4,23.7,100.0,57.4,Medium,1 Activity,45.5,Pass
Anthonia Okonkwo,STU/2022/0077,29,Female,Undergraduate,400,58.6,86.8,72.5,71.0,2.97,22.8,74.6,99.2,Low,2+ Activities,74.4,Good
Mary Anikulapo,STU/2018/0078,16,Female,Undergraduate,500,59.8,42.6,100.0,62.4,3.07,13.3,33.9,77.0,Medium,2+ Activities,56.9,Average
Oluwaseun Lawal,STU/2020/0079,19,Female,Undergraduate,200,100.0,100.0,64.6,73.9,2.94,21.8,8.4,66.8,Medium,None,72.1,Good
Patience Onwudiwe,STU/2021/0080,17,Male,Undergraduate,500,59.1,15.0,49.4,47.6,1.84,0.0,49.0,69.1,High,2+ Activities,35.9,Poor
Uche Anikulapo,STU/2021/0081,23,Male,Undergraduate,200,61.5,52.1,51.8,45.2,2.1,24.9,,61.2,Medium,None,48.0,Pass
Sola Chukwu,STU/2023/0082,19,Male,Undergraduate,200,49.7,27.4,69.2,78.8,3.67,21.1,79.0,60.3,Low,1 Activity,49.1,Pass
Sola Fashola,STU/2022/0083,17,Female,Undergraduate,200,77.3,91.3,49.8,80.9,1.87,5.3,23.7,16.6,Medium,1 Activity,64.4,Good
Ike Nwachukwu,STU/2020/0084,29,Male,Undergraduate,300,70.8,53.3,72.4,56.7,2.64,16.0,73.2,41.7,Medium,None,59.6,Average
Ike Okafor,STU/2018/0085,21,Female,Undergraduate,100,51.5,54.9,51.5,52.3,2.05,0.0,83.4,49.2,Low,None,49.5,Pass
Fatima Bello,STU/2020/0086,21,Male,Postgraduate,300,55.9,66.0,89.3,84.5,2.59,7.9,70.2,69.0,Medium,2+ Activities,64.1,Good
Kayode Garba,STU/2019/0087,25,Female,HND,300,99.6,57.9,88.7,52.8,2.86,22.8,65.4,27.0,High,1 Activity,62.2,Good
Femi Aliyu,STU/2020/0088,19,Female,Undergraduate,400,72.6,47.3,48.4,65.9,2.63,,51.7,49.6,High,None,55.5,Average
Ifeoma Nwachukwu,STU/2018/0089,21,Female,Undergraduate,400,73.8,35.4,53.4,63.8,1.71,13.5,43.5,47.0,Medium,2+ Activities,43.4,Pass
Anthonia Obi,STU/2018/0090,28,Male,Undergraduate,200,73.9,61.0,54.6,40.1,2.83,14.4,74.6,62.3,Medium,2+ Activities,54.6,Average
Dauda Ibrahim,STU/2018/0091,17,Male,Undergraduate,200,97.1,64.8,54.8,68.3,2.14,13.4,69.6,69.1,Low,1 Activity,54.7,Average
Kola Ofili,STU/2021/0092,25,Male,Undergraduate,200,53.2,70.5,36.1,66.6,2.43,21.9,46.8,47.1,Medium,None,51.8,Average
Kola Aliyu,STU/2021/0093,27,Female,Undergraduate,100,64.9,92.4,33.3,71.1,3.67,9.0,,48.5,High,None,54.8,Average
Ibrahim Mohammed,STU/2019/0094,17,Female,Undergraduate,100,69.0,18.9,80.0,67.7,3.86,17.4,17.3,46.4,Medium,1 Activity,49.1,Pass
Adaeze Okonkwo,STU/2020/0095,25,Female,Undergraduate,200,41.0,56.8,76.8,100.0,1.82,4.8,49.2,52.2,Low,1 Activity,53.3,Average
Femi Danjuma,STU/2022/0096,29,Female,Undergraduate,200,55.5,79.5,76.5,84.7,4.41,19.9,35.7,59.0,High,1 Activity,72.8,Good
Segun Mohammed,STU/2023/0097,19,Female,Postgraduate,500,90.8,55.8,53.6,65.7,2.54,11.4,64.6,86.3,High,2+ Activities,57.7,Average
Loveth Bello,STU/2019/0098,29,Male,HND,300,85.7,15.9,92.8,67.2,2.46,13.7,6.3,39.8,Medium,1 Activity,57.6,Average
Grace Bello,STU/2022/0099,23,Female,Undergraduate,200,88.9,34.8,54.6,95.0,2.2,11.1,86.7,95.0,Low,None,64.7,Good
Ike Bakare,STU/2022/0100,29,Male,Undergraduate,300,61.4,63.9,72.3,79.7,3.05,12.1,80.1,35.3,Low,2+ Activities,61.4,Good
Ahmed Suleiman,STU/2019/0101,22,Male,HND,100,63.6,63.3,27.2,44.1,4.78,6.0,,79.1,Low,1 Activity,46.7,Pass
Kola Ofili,STU/2020/0102,27,Male,HND,200,39.8,70.1,50.4,81.1,1.61,16.6,47.2,50.5,Medium,1 Activity,56.3,Average
Bello Abubakar,STU/2023/0103,24,Male,Undergraduate,300,88.8,43.9,51.9,86.1,1.15,18.4,72.9,41.8,Low,2+ Activities,48.4,Pass
Kayode Bakare,STU/2022/0104,29,Male,Undergraduate,200,91.7,62.7,53.7,92.5,3.24,3.4,63.2,86.3,High,2+ Activities,62.4,Good
Blessing Onwudiwe,STU/2021/0105,23,Female,Undergraduate,200,91.5,41.0,28.5,58.2,3.51,9.2,78.8,61.6,High,1 Activity,46.0,Pass
Blessing Ofili,STU/2021/0106,20,Male,Undergraduate,500,100.0,62.7,69.1,56.9,3.05,14.2,51.9,60.9,Medium,None,66.1,Good
Stella Aliyu,STU/2019/0107,28,Female,Undergraduate,400,79.6,59.0,75.6,49.0,3.54,9.2,50.5,54.5,Medium,2+ Activities,62.9,Good
Lanre Abubakar,STU/2023/0108,17,Male,Undergraduate,300,100.0,43.2,40.1,70.2,1.98,12.2,81.9,48.4,Medium,1 Activity,60.0,Good
Amina Bello,STU/2023/0109,20,Male,Undergraduate,300,68.4,86.0,32.1,77.5,2.15,26.9,70.8,56.5,High,1 Activity,57.9,Average
Bello Suleiman,STU/2022/0110,23,Male,Undergraduate,300,40.2,27.3,39.6,56.3,3.11,5.9,,0.0,High,1 Activity,37.2,Poor
Oluwaseun Aliyu,STU/2019/0111,25,Male,Postgraduate,100,87.5,55.5,64.9,62.6,4.58,0.0,64.2,22.9,Low,1 Activity,58.8,Average
Ifeoma Eze,STU/2023/0112,24,Female,Undergraduate,200,39.5,42.8,43.1,30.1,3.5,9.2,59.6,67.8,Low,2+ Activities,38.6,Poor
Lanre Okonkwo,STU/2023/0113,27,Male,Undergraduate,100,75.1,91.0,52.3,90.7,3.55,11.4,66.7,83.7,High,1 Activity,75.8,Excellent
Biodun Nwosu,STU/2021/0114,27,Female,Undergraduate,200,89.2,68.8,33.5,38.4,2.03,10.1,,87.3,Medium,2+ Activities,66.4,Good
Joy Nwachukwu,STU/2019/0115,27,Male,Undergraduate,300,77.8,46.3,94.6,71.4,3.38,16.2,46.3,40.9,Low,2+ Activities,61.4,Good
Sandra Okeke,STU/2022/0116,28,Female,HND,100,100.0,53.0,56.5,69.1,1.94,,38.9,63.9,Medium,2+ Activities,58.3,Average
Chukwuemeka Garba,STU/2022/0117,24,Female,Undergraduate,500,36.6,91.5,78.0,65.8,4.59,4.6,61.8,16.1,High,1 Activity,65.3,Good
Kola Ofili,STU/2021/0118,28,Female,Undergraduate,500,70.5,41.0,64.9,66.2,2.09,8.6,41.6,53.0,Low,2+ Activities,53.1,Average
Precious Chukwu,STU/2018/0119,28,Male,Postgraduate,400,72.3,26.2,54.2,47.8,2.28,8.8,32.2,76.5,High,1 Activity,50.0,Average
Halima Danjuma,STU/2018/0120,16,Male,Undergraduate,300,47.8,63.2,53.1,59.4,1.67,31.0,79.8,59.7,Low,None,48.1,Pass
Aisha Nwosu,STU/2023/0121,24,Male,HND,400,51.2,63.6,40.5,81.5,3.08,26.4,47.8,53.4,High,2+ Activities,55.5,Average
Emeka Anikulapo,STU/2020/0122,22,Female,Undergraduate,100,56.8,70.0,46.0,86.5,3.04,0.6,8.3,59.7,Medium,1 Activity,59.0,Average
Vivian Bello,STU/2021/0123,24,Male,Undergraduate,400,52.2,70.1,34.8,57.8,4.36,0.0,76.2,85.7,Medium,None,57.4,Average
Mercy Chukwu,STU/2020/0124,23,Male,Undergraduate,100,70.1,89.9,32.7,38.5,3.7,13.3,44.0,55.1,Medium,None,55.8,Average
Stella Adeyemi,STU/2023/0125,16,Female,Undergraduate,400,61.1,27.1,96.7,51.8,2.29,29.3,69.4,61.5,High,None,59.6,Average
Ibrahim Obi,STU/2021/0126,27,Male,Postgraduate,200,,36.3,60.6,96.5,3.79,19.3,82.1,90.4,High,2+ Activities,68.9,Good
Chidinma Adeleke,STU/2022/0127,23,Female,Postgraduate,400,83.7,69.9,84.3,52.8,1.88,13.7,59.7,55.4,Medium,1 Activity,66.1,Good
Precious Ibrahim,STU/2021/0128,23,Male,Undergraduate,500,,38.1,39.1,63.3,2.35,10.4,4.1,27.3,Medium,None,47.1,Pass
Precious Bello,STU/2019/0129,26,Male,Undergraduate,100,64.6,31.8,30.0,89.1,3.11,22.6,5.9,87.4,Medium,2+ Activities,49.9,Pass
Ibrahim Nwosu,STU/2020/0130,18,Female,Postgraduate,200,77.1,91.6,35.4,56.0,1.98,15.4,38.2,80.3,Medium,None,56.4,Average
Stella Nwachukwu,STU/2021/0131,16,Male,HND,500,90.6,28.8,46.6,62.2,3.96,27.9,53.6,15.7,High,2+ Activities,55.4,Average
Tunde Onyekwere,STU/2020/0132,23,Female,Undergraduate,200,80.0,51.7,55.7,78.5,5.0,0.5,85.0,57.4,Low,1 Activity,60.8,Good
Uche Nwosu,STU/2023/0133,18,Male,Undergraduate,400,100.0,56.9,52.0,94.1,2.73,17.4,62.3,59.6,Low,1 Activity,63.1,Good
Bello Adeleke,STU/2021/0134,18,Male,Undergraduate,300,89.7,81.6,39.5,54.0,2.41,9.5,100.0,87.4,Medium,1 Activity,59.7,Average
Segun Nwosu,STU/2018/0135,16,Female,HND,200,100.0,24.4,56.8,88.7,2.88,17.3,17.7,59.7,Low,None,48.1,Pass
Tunde Okafor,STU/2020/0136,26,Female,Undergraduate,200,27.1,65.5,58.5,60.2,2.5,16.0,58.0,63.3,High,2+ Activities,56.3,Average
Aisha Onyekwere,STU/2022/0137,20,Female,Undergraduate,100,73.7,42.0,69.0,49.9,3.24,18.1,43.9,63.9,Medium,None,58.8,Average
Sola Obi,STU/2022/0138,25,Male,Postgraduate,400,66.2,69.3,84.4,69.2,1.81,,60.9,50.7,Medium,2+ Activities,65.2,Good
Sandra Onwudiwe,STU/2021/0139,22,Female,Undergraduate,200,69.8,41.7,47.7,45.3,3.29,25.1,98.8,85.9,High,1 Activity,59.5,Average
Amina Bello,STU/2022/0140,25,Male,Undergraduate,300,57.5,86.3,79.3,73.0,4.72,29.6,100.0,44.2,Medium,1 Activity,74.6,Good
Blessing Obi,STU/2022/0141,24,Male,Undergraduate,200,79.1,41.8,56.3,100.0,1.2,14.1,56.4,50.3,Medium,1 Activity,53.0,Average
Precious Obi,STU/2020/0142,27,Female,Undergraduate,300,39.4,13.7,24.5,83.8,1.95,9.7,,59.9,Low,None,42.2,Pass
Bello Onyekwere,STU/2021/0143,22,Male,Undergraduate,400,79.3,43.8,90.7,63.2,2.6,4.2,60.4,33.2,Medium,1 Activity,54.7,Average
Ibrahim Nwosu,STU/2020/0144,24,Female,Undergraduate,500,58.1,53.3,100.0,82.9,3.49,17.5,28.1,95.3,Low,2+ Activities,63.2,Good
Joy Aliyu,STU/2021/0145,23,Male,Undergraduate,200,63.0,77.5,67.4,49.2,3.8,,55.4,60.0,Medium,None,63.9,Good
Biodun Abubakar,STU/2022/0146,27,Male,Undergraduate,400,79.9,35.3,56.8,52.0,3.73,3.2,42.4,76.5,Medium,1 Activity,54.4,Average
Loveth Adeleke,STU/2021/0147,17,Female,Postgraduate,400,73.4,35.7,49.6,63.7,1.48,23.2,,40.9,Medium,1 Activity,51.7,Average
Joy Lawal,STU/2023/0148,16,Female,Postgraduate,300,91.0,75.3,45.7,66.5,2.39,13.2,33.7,74.2,Medium,1 Activity,51.3,Average
Rasheed Chukwu,STU/2021/0149,22,Female,Undergraduate,500,54.5,33.2,79.2,43.0,2.19,4.0,58.9,75.9,Low,None,47.7,Pass
Tunde Okafor,STU/2019/0150,22,Female,Undergraduate,100,70.5,54.8,54.7,59.8,2.94,7.2,62.6,78.8,High,1 Activity,51.6,Average
Ahmed Fashola,STU/2021/0151,29,Female,Undergraduate,100,88.0,55.1,88.5,62.5,3.02,6.5,72.6,98.1,Low,2+ Activities,69.6,Good
Chukwuemeka Suleiman,STU/2019/0152,23,Female,Undergraduate,400,78.5,61.9,55.7,91.2,1.77,6.6,62.7,48.8,High,None,63.6,Good
Joy Ibrahim,STU/2020/0153,20,Female,Undergraduate,200,79.7,44.5,46.8,43.0,2.6,18.6,95.9,56.3,Medium,1 Activity,54.3,Average
Halima Lawal,STU/2019/0154,18,Male,Undergraduate,400,91.9,41.3,43.0,41.4,3.52,20.9,100.0,43.1,Medium,1 Activity,52.6,Average
Halima Bello,STU/2020/0155,27,Male,Undergraduate,400,64.7,64.0,40.1,68.0,2.43,27.6,44.9,58.1,Medium,1 Activity,51.2,Average
Precious Anikulapo,STU/2021/0156,23,Male,Undergraduate,100,60.9,41.9,65.3,84.6,2.82,8.4,79.3,73.3,High,1 Activity,57.5,Average
Fatima Okonkwo,STU/2020/0157,21,Female,Undergraduate,400,82.4,33.5,29.1,74.4,4.53,16.7,100.0,72.2,Low,1 Activity,53.8,Average
Musa Anikulapo,STU/2022/0158,26,Female,Undergraduate,200,69.3,80.1,38.6,70.1,4.79,8.8,79.9,92.8,Medium,None,64.1,Good
Lanre Garba,STU/2023/0159,18,Male,Undergraduate,300,92.2,66.8,81.5,60.1,1.05,14.2,72.9,69.8,High,2+ Activities,59.7,Average
Dauda Onwudiwe,STU/2021/0160,16,Female,Undergraduate,300,78.7,89.8,35.9,76.5,3.1,,9.5,60.0,High,2+ Activities,53.0,Average
Ike Bello,STU/2019/0161,18,Female,Undergraduate,500,60.8,72.1,72.3,79.1,5.0,5.0,41.0,38.2,Medium,None,67.4,Good
Segun Suleiman,STU/2023/0162,20,Male,HND,100,,35.2,13.7,60.6,3.43,20.4,44.7,77.3,High,1 Activity,49.3,Pass
Wale Eze,STU/2018/0163,29,Female,HND,200,55.8,59.7,84.0,48.9,3.02,2.1,89.7,56.9,Medium,2+ Activities,66.4,Good
Adaeze Okafor,STU/2023/0164,18,Female,Undergraduate,300,89.0,39.7,29.6,49.0,4.18,18.9,36.7,77.8,Low,2+ Activities,49.9,Pass
Aisha Lawal,STU/2021/0165,16,Male,Undergraduate,400,46.9,28.3,37.5,79.9,3.2,8.6,52.9,51.5,Medium,2+ Activities,39.6,Poor
Joy Mohammed,STU/2023/0166,20,Female,Undergraduate,300,94.0,50.0,68.6,38.7,3.64,0.0,76.0,84.0,Medium,2+ Activities,62.8,Good
Halima Fashola,STU/2023/0167,25,Male,Undergraduate,100,77.8,75.7,60.4,93.5,2.81,0.0,35.6,67.7,Medium,None,66.1,Good
Sandra Fashola,STU/2022/0168,22,Female,Undergraduate,200,69.0,62.9,72.9,57.2,3.18,25.7,62.0,79.8,High,2+ Activities,68.9,Good
Wale Okonkwo,STU/2020/0169,29,Female,Postgraduate,200,85.7,33.0,29.4,70.3,3.38,,58.7,67.7,Medium,2+ Activities,55.9,Average
Yusuf Onyekwere,STU/2023/0170,22,Female,Undergraduate,400,81.2,49.3,49.3,76.9,3.78,13.5,76.9,41.5,Low,1 Activity,65.1,Good
Vivian Okonkwo,STU/2019/0171,26,Male,Postgraduate,200,95.9,55.4,42.7,53.4,2.61,16.8,71.5,52.7,High,1 Activity,51.9,Average
Vivian Obi,STU/2019/0172,24,Female,Undergraduate,100,95.8,27.6,32.8,57.2,2.59,3.5,70.7,34.4,Low,1 Activity,51.6,Average
Anthonia Abubakar,STU/2022/0173,25,Female,Undergraduate,500,78.3,70.8,66.9,67.2,1.27,9.6,60.0,63.7,High,1 Activity,57.1,Average
Uche Onyekwere,STU/2023/0174,25,Male,Postgraduate,100,56.3,53.9,73.9,50.5,2.65,17.8,13.1,30.7,High,None,55.1,Average
