full_name,matric_number,age,gender,program,level,attendance_pct,test_scores,exam_scores,assignment_scores,gpa,study_hours_per_week,lms_activity,past_academic_record,class_participation,extracurricular,performance_score,performance_category,study_bucket,score_composite,engagement_index,academic_consistency,class_participation_enc,extracurricular_enc,gender_enc,level_enc
Gbemi Adeyemi,STU/2018/0018,23,Female,Undergraduate,300,96.6,59.3,33.3,79.0,3.84,0.0,56.5,28.1,High,2+ Activities,58.1,Average,,53.82,57.23,1.849,2,2.0,1,3
Rasheed Fashola,STU/2020/0019,18,Male,Postgraduate,200,91.3,28.8,22.5,54.0,3.24,14.2,68.2,51.8,Medium,1 Activity,49.5,Pass,,32.58,66.22,0.617,1,1.0,0,2
Blessing Danjuma,STU/2019/0020,21,Male,Undergraduate,300,62.2,51.3,21.8,58.2,1.84,16.6,76.4,29.4,Medium,,44.8,Pass,"(15, 20]",41.22,62.39,1.356,1,,0,3
Ibrahim Garba,STU/2021/0021,20,Male,Undergraduate,200,58.3,68.2,95.5,46.8,4.2,12.0,41.6,75.4,High,,67.3,Good,"(10, 15]",73.77,42.29,0.966,2,,0,2
Ifeoma Adeleke,STU/2022/0022,17,Female,Undergraduate,200,59.0,39.4,96.2,38.8,3.69,7.3,60.0,53.3,High,,56.2,Average,"(5, 10]",61.97,50.13,1.141,2,,1,2
Amina Bakare,STU/2020/0023,23,Female,HND,400,41.1,52.2,32.6,90.0,3.9,11.1,69.3,70.9,High,,56.4,Average,"(10, 15]",53.81,50.68,0.748,2,,1,4
Bello Suleiman,STU/2023/0024,27,Male,Undergraduate,200,72.6,14.7,54.8,78.5,3.36,25.7,50.5,85.0,Medium,,53.4,Average,"(25, 30]",46.69,55.6,0.543,1,,0,2
Precious Onwudiwe,STU/2020/0025,29,Male,Undergraduate,400,19.7,33.4,29.3,78.8,0.9,6.6,44.5,85.3,Medium,1 Activity,38.1,Poor,"(5, 10]",43.11,30.36,0.5,1,1.0,0,4
Mercy Nwachukwu,STU/2023/0026,21,Male,Undergraduate,400,71.4,38.1,54.7,61.3,3.98,0.1,72.8,39.6,Low,,53.3,Average,"(0, 5]",50.54,57.85,1.245,0,,0,4
Ahmed Aliyu,STU/2023/0027,17,Female,Postgraduate,400,73.3,59.8,87.8,35.5,3.05,2.3,50.6,66.2,Medium,1 Activity,57.0,Average,"(0, 5]",64.92,48.06,0.966,1,1.0,1,4
Kola Adeyemi,STU/2018/0028,27,Male,HND,500,80.5,64.0,76.6,100.0,3.32,13.7,25.1,82.4,High,1 Activity,63.4,Good,"(10, 15]",78.04,41.27,0.936,2,1.0,0,5
Joy Ibrahim,STU/2021/0029,20,Male,Undergraduate,200,91.0,57.0,71.2,72.2,3.49,27.4,89.3,73.9,Medium,,68.6,Good,"(25, 30]",66.48,81.08,0.888,1,,0,2
Mercy Ofili,STU/2023/0030,16,Female,HND,200,75.6,51.1,51.1,67.3,4.74,31.6,27.8,75.9,High,,63.0,Good,"(30, 35]",55.15,47.11,0.717,2,,1,2
Dauda Garba,STU/2018/0031,27,Male,HND,300,100.0,51.2,80.2,58.9,2.51,19.2,52.6,24.3,Medium,,67.9,Good,"(15, 20]",64.72,62.7,2.558,1,,0,3
Ahmed Bakare,STU/2018/0032,25,Female,HND,200,83.2,70.9,67.9,30.2,2.53,14.2,63.0,73.6,Medium,,58.1,Average,,59.53,61.19,0.798,1,,1,2
Sola Adeleke,STU/2023/0033,21,Male,Undergraduate,300,58.4,61.8,63.1,84.4,2.23,14.2,66.4,44.1,High,2+ Activities,55.8,Average,,67.97,55.45,1.507,2,2.0,0,3
Anthonia Mohammed,STU/2021/0034,28,Male,Undergraduate,400,67.7,52.0,52.7,47.0,2.04,21.0,56.5,73.3,High,1 Activity,47.8,Pass,"(20, 25]",51.03,55.56,0.687,2,1.0,0,4
Amina Aliyu,STU/2019/0035,27,Male,Undergraduate,300,31.3,81.3,61.4,74.3,2.05,24.7,0.0,72.9,High,,56.1,Average,"(20, 25]",71.59,17.62,0.969,2,,0,3
Stella Nwachukwu,STU/2020/0036,24,Female,Postgraduate,200,55.8,93.1,60.8,78.1,1.33,8.9,37.4,71.8,High,1 Activity,56.2,Average,"(5, 10]",76.43,38.41,1.05,2,1.0,1,2
Sandra Ibrahim,STU/2018/0037,16,Female,Undergraduate,100,65.1,35.6,44.2,70.7,3.38,25.4,62.4,57.8,Medium,,50.9,Average,"(25, 30]",47.82,59.2,0.813,1,,1,1
Femi Aliyu,STU/2020/0038,26,Female,Undergraduate,200,81.8,67.4,39.5,73.0,4.79,12.2,52.3,86.3,Medium,1 Activity,60.6,Good,"(10, 15]",57.64,54.76,0.66,1,1.0,1,2
Ike Eze,STU/2021/0039,26,Male,Undergraduate,100,58.5,100.0,35.1,87.9,4.85,19.7,67.8,70.2,High,1 Activity,68.8,Good,"(15, 20]",71.02,58.02,0.997,2,1.0,0,1
Gbenga Anikulapo,STU/2019/0040,25,Female,Postgraduate,400,49.6,63.0,36.3,51.5,2.23,23.2,80.5,66.4,Medium,1 Activity,53.2,Average,"(20, 25]",49.44,62.86,0.734,1,1.0,1,4
Loveth Chukwu,STU/2022/0041,27,Male,Postgraduate,200,38.0,60.1,51.2,67.8,2.76,2.1,67.7,41.3,Low,,41.6,Pass,"(0, 5]",58.46,45.95,1.382,0,,0,2
Ibrahim Fashola,STU/2019/0042,27,Male,Undergraduate,100,61.3,57.0,47.9,61.2,4.11,17.6,36.8,67.9,Medium,,61.0,Good,"(15, 20]",54.41,42.66,0.79,1,,0,1
Vivian Ofili,STU/2021/0043,29,Female,Postgraduate,100,100.0,66.8,42.6,33.7,3.39,25.4,41.5,99.6,Medium,1 Activity,57.3,Average,"(25, 30]",48.84,59.22,0.485,1,1.0,1,1
Emeka Okonkwo,STU/2019/0044,29,Male,Undergraduate,300,76.9,71.6,41.1,69.9,3.12,9.5,95.8,32.2,Low,2+ Activities,56.3,Average,"(5, 10]",58.98,74.14,1.777,0,2.0,0,3
Kayode Fashola,STU/2022/0045,29,Male,Postgraduate,300,71.4,35.6,60.8,86.3,2.77,5.5,50.5,74.6,Medium,2+ Activities,61.9,Good,"(5, 10]",58.36,48.5,0.772,1,2.0,0,3
Mary Fashola,STU/2018/0046,18,Male,Undergraduate,200,55.8,57.5,82.6,88.4,4.06,18.0,56.5,77.1,Low,,66.0,Good,"(15, 20]",75.26,50.99,0.964,0,,0,2
Rasheed Mohammed,STU/2019/0047,27,Male,Undergraduate,100,43.7,17.1,54.8,96.6,2.03,15.1,67.7,94.5,Medium,1 Activity,46.3,Pass,"(15, 20]",52.06,51.99,0.545,1,1.0,0,1
Gbemi Okonkwo,STU/2023/0048,22,Male,HND,200,50.0,54.2,53.5,34.8,3.43,11.4,85.9,74.5,High,1 Activity,46.7,Pass,"(10, 15]",49.07,61.75,0.65,2,1.0,0,2
Adaeze Ofili,STU/2023/0049,19,Female,Undergraduate,200,70.3,41.8,36.3,92.7,3.31,14.0,32.5,60.2,Medium,2+ Activities,57.0,Average,"(10, 15]",52.32,42.01,0.855,1,2.0,1,2
Vivian Ibrahim,STU/2021/0050,24,Male,Postgraduate,300,71.4,64.1,50.5,68.1,3.04,0.6,42.6,68.5,High,,54.5,Average,"(0, 5]",59.66,42.92,0.858,2,,0,3
Nkechi Nwachukwu,STU/2019/0051,18,Female,Undergraduate,300,53.9,28.2,78.8,92.2,3.71,17.2,14.9,54.6,Medium,1 Activity,56.4,Average,"(15, 20]",64.44,29.35,1.159,1,1.0,1,3
Biodun Okafor,STU/2022/0052,20,Female,Undergraduate,200,61.4,48.8,75.7,58.3,3.03,26.7,47.6,84.4,High,,64.9,Good,"(25, 30]",61.94,51.12,0.725,2,,1,2
Stella Onwudiwe,STU/2021/0053,18,Male,Undergraduate,100,48.2,75.4,74.4,56.0,2.52,8.3,69.2,29.0,Low,1 Activity,56.7,Average,"(5, 10]",70.15,51.83,2.338,0,1.0,0,1
Stella Anikulapo,STU/2019/0054,22,Male,Undergraduate,500,71.4,45.8,73.7,44.3,3.08,7.4,45.9,50.2,Low,1 Activity,53.9,Average,"(5, 10]",56.59,46.84,1.105,0,1.0,0,5
Sandra Ofili,STU/2021/0055,20,Male,Undergraduate,200,77.2,23.7,63.7,78.2,1.57,15.4,99.0,68.9,High,2+ Activities,51.6,Average,"(15, 20]",53.32,77.79,0.763,2,2.0,0,2
Blessing Onwudiwe,STU/2023/0056,24,Female,Undergraduate,300,72.8,62.6,63.0,73.7,3.55,36.8,57.9,83.4,High,2+ Activities,63.3,Good,"(35, 40]",65.54,63.06,0.777,2,2.0,1,3
Joy Aliyu,STU/2022/0057,22,Male,Undergraduate,100,86.0,47.4,59.9,46.0,3.78,22.8,52.4,59.7,Low,1 Activity,55.3,Average,"(20, 25]",52.05,59.6,0.857,0,1.0,0,1
Patience Nwosu,STU/2018/0058,17,Female,Undergraduate,200,52.0,54.7,46.7,28.2,2.41,13.2,46.2,44.4,High,1 Activity,42.9,Pass,"(10, 15]",44.88,43.1,0.989,2,1.0,1,2
Ngozi Ibrahim,STU/2022/0059,19,Male,HND,100,85.7,44.9,56.7,72.1,2.19,14.3,21.0,55.8,Medium,,57.3,Average,"(10, 15]",56.42,40.98,0.993,1,,0,1
Musa Bello,STU/2018/0060,24,Female,HND,300,99.5,93.5,59.3,74.0,2.44,23.6,52.7,52.7,High,1 Activity,70.0,Good,"(20, 25]",74.94,64.07,1.396,2,1.0,1,3
Mary Anikulapo,STU/2020/0061,27,Male,Undergraduate,500,76.7,30.0,67.7,48.2,2.94,6.7,64.0,53.6,Medium,1 Activity,48.6,Pass,"(5, 10]",49.63,57.24,0.909,1,1.0,0,5
Abdul Aliyu,STU/2023/0062,29,Male,Postgraduate,200,61.0,100.0,57.0,44.8,3.19,18.9,52.0,51.3,Medium,,60.8,Good,"(15, 20]",69.0,50.6,1.319,1,,0,2
Rasheed Nwosu,STU/2023/0063,17,Female,Undergraduate,100,74.6,51.0,97.1,76.1,4.45,5.1,60.8,51.3,Medium,2+ Activities,67.8,Good,"(5, 10]",75.72,54.48,1.448,1,2.0,1,1
Amina Onwudiwe,STU/2023/0064,25,Female,Undergraduate,100,60.2,61.3,30.8,96.6,4.34,21.4,38.2,25.7,Medium,,54.7,Average,"(20, 25]",57.92,44.29,2.169,1,,1,1
Gbenga Danjuma,STU/2022/0065,24,Male,Postgraduate,200,57.2,47.7,70.1,56.6,3.75,11.6,23.9,66.0,Medium,1 Activity,54.9,Average,"(10, 15]",58.88,32.98,0.879,1,1.0,0,2
Gbenga Lawal,STU/2018/0066,25,Female,HND,100,84.3,46.9,54.2,50.0,3.11,15.6,52.3,73.5,Medium,2+ Activities,54.7,Average,"(15, 20]",50.6,56.64,0.679,1,2.0,1,1
Emeka Lawal,STU/2020/0067,20,Male,Undergraduate,100,69.5,43.9,55.0,70.1,2.17,14.2,60.5,90.0,Low,2+ Activities,50.5,Average,,54.89,55.83,0.603,0,2.0,0,1
Stella Okonkwo,STU/2020/0068,17,Female,Postgraduate,400,93.7,68.8,38.7,75.8,4.51,19.6,50.8,77.2,Low,2+ Activities,62.0,Good,"(15, 20]",58.51,60.04,0.748,0,2.0,1,4
Segun Okafor,STU/2020/0069,19,Female,Undergraduate,200,64.0,32.6,75.4,58.8,2.78,12.6,60.1,76.2,Low,,56.8,Average,"(10, 15]",56.27,53.45,0.729,0,,1,2
Grace Chukwu,STU/2021/0070,27,Male,HND,200,65.9,64.6,68.1,99.4,3.25,31.3,74.4,65.9,High,2+ Activities,72.4,Good,"(30, 35]",74.7,67.4,1.117,2,2.0,0,2
Uche Eze,STU/2022/0071,27,Male,Undergraduate,500,61.8,18.7,71.7,80.3,3.56,25.4,74.3,24.7,Medium,,60.4,Good,"(25, 30]",55.3,64.16,2.152,1,,0,5
Blessing Chukwu,STU/2022/0072,22,Male,Undergraduate,100,51.8,62.9,58.4,58.5,3.06,3.6,76.4,65.6,High,2+ Activities,55.4,Average,"(0, 5]",60.0,54.94,0.901,2,2.0,0,1
Uche Okeke,STU/2023/0073,27,Female,Undergraduate,500,86.7,73.3,48.5,37.9,4.04,15.5,80.1,62.2,High,1 Activity,57.1,Average,"(15, 20]",54.53,71.23,0.863,2,1.0,1,5
Ngozi Eze,STU/2022/0074,28,Female,Undergraduate,200,100.0,35.1,53.7,87.4,3.41,14.2,67.4,80.6,Medium,2+ Activities,61.0,Good,,55.62,68.43,0.682,1,2.0,1,2
Nkechi Adeyemi,STU/2022/0075,23,Male,Undergraduate,400,65.1,70.2,63.7,85.3,3.89,10.3,63.9,71.3,High,,70.4,Good,"(10, 15]",71.38,54.91,0.987,2,,0,4
Rasheed Okonkwo,STU/2021/0076,18,Male,HND,300,59.8,58.9,14.9,59.9,3.4,23.7,100.0,57.4,Medium,1 Activity,45.5,Pass,"(20, 25]",41.55,75.84,0.711,1,1.0,0,3
Anthonia Okonkwo,STU/2022/0077,29,Female,Undergraduate,400,58.6,86.8,72.5,71.0,2.97,22.8,74.6,99.2,Low,2+ Activities,74.4,Good,"(20, 25]",77.13,62.48,0.77,0,2.0,1,4
Mary Anikulapo,STU/2018/0078,16,Female,Undergraduate,500,59.8,42.6,100.0,62.4,3.07,13.3,33.9,77.0,Medium,2+ Activities,56.9,Average,"(10, 15]",70.51,39.32,0.904,1,2.0,1,5
Oluwaseun Lawal,STU/2020/0079,19,Female,Undergraduate,200,100.0,100.0,64.6,73.9,2.94,21.8,8.4,66.8,Medium,,72.1,Good,"(20, 25]",79.32,41.47,1.17,1,,1,2
Patience Onwudiwe,STU/2021/0080,17,Male,Undergraduate,500,59.1,15.0,49.4,47.6,1.84,0.0,49.0,69.1,High,2+ Activities,35.9,Poor,,36.91,42.23,0.527,2,2.0,0,5
Uche Anikulapo,STU/2021/0081,23,Male,Undergraduate,200,61.5,52.1,51.8,45.2,2.1,24.9,56.5,61.2,Medium,,48.0,Pass,"(20, 25]",50.26,55.0,0.808,1,,0,2
Sola Chukwu,STU/2023/0082,19,Male,Undergraduate,200,49.7,27.4,69.2,78.8,3.67,21.1,79.0,60.3,Low,1 Activity,49.1,Pass,"(20, 25]",56.97,61.44,0.929,0,1.0,0,2
Sola Fashola,STU/2022/0083,17,Female,Undergraduate,200,77.3,91.3,49.8,80.9,1.87,5.3,23.7,16.6,Medium,1 Activity,64.4,Good,"(5, 10]",72.1,36.81,4.097,1,1.0,1,2
Ike Nwachukwu,STU/2020/0084,29,Male,Undergraduate,300,70.8,53.3,72.4,56.7,2.64,16.0,73.2,41.7,Medium,,59.6,Average,"(15, 20]",61.79,63.17,1.447,1,,0,3
Ike Okafor,STU/2018/0085,21,Female,Undergraduate,100,51.5,54.9,51.5,52.3,2.05,0.0,83.4,49.2,Low,,49.5,Pass,,52.89,57.15,1.054,0,,1,1
Fatima Bello,STU/2020/0086,21,Male,Postgraduate,300,55.9,66.0,89.3,84.5,2.59,7.9,70.2,69.0,Medium,2+ Activities,64.1,Good,"(5, 10]",79.94,54.5,1.142,1,2.0,0,3
Kayode Garba,STU/2019/0087,25,Female,HND,300,99.6,57.9,88.7,52.8,2.86,22.8,65.4,27.0,High,1 Activity,62.2,Good,"(20, 25]",68.95,70.18,2.462,2,1.0,1,3
Femi Aliyu,STU/2020/0088,19,Female,Undergraduate,400,72.6,47.3,48.4,65.9,2.63,14.2,51.7,49.6,High,,55.5,Average,,52.39,52.36,1.035,2,,1,4
Ifeoma Nwachukwu,STU/2018/0089,21,Female,Undergraduate,400,73.8,35.4,53.4,63.8,1.71,13.5,43.5,47.0,Medium,2+ Activities,43.4,Pass,"(10, 15]",49.7,48.39,1.035,1,2.0,1,4
Anthonia Obi,STU/2018/0090,28,Male,Undergraduate,200,73.9,61.0,54.6,40.1,2.83,14.4,74.6,62.3,Medium,2+ Activities,54.6,Average,"(10, 15]",53.22,64.27,0.841,1,2.0,0,2
Dauda Ibrahim,STU/2018/0091,17,Male,Undergraduate,200,97.1,64.8,54.8,68.3,2.14,13.4,69.6,69.1,Low,1 Activity,54.7,Average,"(10, 15]",61.68,68.4,0.88,0,1.0,0,2
Kola Ofili,STU/2021/0092,25,Male,Undergraduate,200,53.2,70.5,36.1,66.6,2.43,21.9,46.8,47.1,Medium,,51.8,Average,"(20, 25]",55.76,46.66,1.159,1,,0,2
Kola Aliyu,STU/2021/0093,27,Female,Undergraduate,100,64.9,92.4,33.3,71.1,3.67,9.0,56.5,48.5,High,,54.8,Average,"(5, 10]",63.44,50.72,1.282,2,,1,1
Ibrahim Mohammed,STU/2019/0094,17,Female,Undergraduate,100,69.0,18.9,80.0,67.7,3.86,17.4,17.3,46.4,Medium,1 Activity,49.1,Pass,"(15, 20]",55.54,35.15,1.172,1,1.0,1,1
Adaeze Okonkwo,STU/2020/0095,25,Female,Undergraduate,200,41.0,56.8,76.8,100.0,1.82,4.8,49.2,52.2,Low,1 Activity,53.3,Average,"(0, 5]",75.6,38.5,1.421,0,1.0,1,2
Femi Danjuma,STU/2022/0096,29,Female,Undergraduate,200,55.5,79.5,76.5,84.7,4.41,19.9,35.7,59.0,High,1 Activity,72.8,Good,"(15, 20]",79.6,41.13,1.327,2,1.0,1,2
Segun Mohammed,STU/2023/0097,19,Female,Postgraduate,500,90.8,55.8,53.6,65.7,2.54,11.4,64.6,86.3,High,2+ Activities,57.7,Average,"(10, 15]",57.4,63.34,0.658,2,2.0,1,5
Loveth Bello,STU/2019/0098,29,Male,HND,300,85.7,15.9,92.8,67.2,2.46,13.7,6.3,39.8,Medium,1 Activity,57.6,Average,"(10, 15]",59.48,33.43,1.458,1,1.0,0,3
Grace Bello,STU/2022/0099,23,Female,Undergraduate,200,88.9,34.8,54.6,95.0,2.2,11.1,86.7,95.0,Low,,64.7,Good,"(10, 15]",57.77,73.72,0.602,0,,1,2
Ike Bakare,STU/2022/0100,29,Male,Undergraduate,300,61.4,63.9,72.3,79.7,3.05,12.1,80.1,35.3,Low,2+ Activities,61.4,Good,"(10, 15]",71.21,62.5,1.962,0,2.0,0,3
Ahmed Suleiman,STU/2019/0101,22,Male,HND,100,63.6,63.3,27.2,44.1,4.78,6.0,56.5,79.1,Low,1 Activity,46.7,Pass,"(5, 10]",44.06,49.33,0.55,0,1.0,0,1
Kola Ofili,STU/2020/0102,27,Male,HND,200,39.8,70.1,50.4,81.1,1.61,16.6,47.2,50.5,Medium,1 Activity,56.3,Average,"(15, 20]",64.97,41.07,1.262,1,1.0,0,2
Bello Abubakar,STU/2023/0103,24,Male,Undergraduate,300,88.8,43.9,51.9,86.1,1.15,18.4,72.9,41.8,Low,2+ Activities,48.4,Pass,"(15, 20]",57.65,69.22,1.347,0,2.0,0,3
Kayode Bakare,STU/2022/0104,29,Male,Undergraduate,200,91.7,62.7,53.7,92.5,3.24,3.4,63.2,86.3,High,2+ Activities,62.4,Good,"(0, 5]",66.55,60.24,0.762,2,2.0,0,2
Blessing Onwudiwe,STU/2021/0105,23,Female,Undergraduate,200,91.5,41.0,28.5,58.2,3.51,9.2,78.8,61.6,High,1 Activity,46.0,Pass,"(5, 10]",40.3,69.92,0.644,2,1.0,1,2
Blessing Ofili,STU/2021/0106,20,Male,Undergraduate,500,100.0,62.7,69.1,56.9,3.05,14.2,51.9,60.9,Medium,,66.1,Good,"(10, 15]",63.81,60.68,1.031,1,,0,5
Stella Aliyu,STU/2019/0107,28,Female,Undergraduate,400,79.6,59.0,75.6,49.0,3.54,9.2,50.5,54.5,Medium,2+ Activities,62.9,Good,"(5, 10]",63.14,52.2,1.138,1,2.0,1,4
Lanre Abubakar,STU/2023/0108,17,Male,Undergraduate,300,100.0,43.2,40.1,70.2,1.98,12.2,81.9,48.4,Medium,1 Activity,60.0,Good,"(10, 15]",48.71,75.02,0.986,1,1.0,0,3
Amina Bello,STU/2023/0109,20,Male,Undergraduate,300,68.4,86.0,32.1,77.5,2.15,26.9,70.8,56.5,High,1 Activity,57.9,Average,"(25, 30]",62.32,64.89,1.084,2,1.0,0,3
Bello Suleiman,STU/2022/0110,23,Male,Undergraduate,300,40.2,27.3,39.6,56.3,3.11,5.9,56.5,0.0,High,1 Activity,37.2,Poor,"(5, 10]",39.47,42.28,39.47,2,1.0,0,3
Oluwaseun Aliyu,STU/2019/0111,25,Male,Postgraduate,100,87.5,55.5,64.9,62.6,4.58,0.0,64.2,22.9,Low,1 Activity,58.8,Average,,61.04,58.35,2.554,0,1.0,0,1
Ifeoma Eze,STU/2023/0112,24,Female,Undergraduate,200,39.5,42.8,43.1,30.1,3.5,9.2,59.6,67.8,Low,2+ Activities,38.6,Poor,"(5, 10]",39.74,44.72,0.578,0,2.0,1,2
Lanre Okonkwo,STU/2023/0113,27,Male,Undergraduate,100,75.1,91.0,52.3,90.7,3.55,11.4,66.7,83.7,High,1 Activity,75.8,Excellent,"(10, 15]",75.44,59.68,0.891,2,1.0,0,1
Biodun Nwosu,STU/2021/0114,27,Female,Undergraduate,200,89.2,68.8,33.5,38.4,2.03,10.1,56.5,87.3,Medium,2+ Activities,66.4,Good,"(10, 15]",47.08,58.38,0.533,1,2.0,1,2
Joy Nwachukwu,STU/2019/0115,27,Male,Undergraduate,300,77.8,46.3,94.6,71.4,3.38,16.2,46.3,40.9,Low,2+ Activities,61.4,Good,"(15, 20]",71.9,51.89,1.716,0,2.0,0,3
Sandra Okeke,STU/2022/0116,28,Female,HND,100,100.0,53.0,56.5,69.1,1.94,14.2,38.9,63.9,Medium,2+ Activities,58.3,Average,,58.42,54.18,0.9,1,2.0,1,1
Chukwuemeka Garba,STU/2022/0117,24,Female,Undergraduate,500,36.6,91.5,78.0,65.8,4.59,4.6,61.8,16.1,High,1 Activity,65.3,Good,"(0, 5]",79.68,43.41,4.66,2,1.0,1,5
Kola Ofili,STU/2021/0118,28,Female,Undergraduate,500,70.5,41.0,64.9,66.2,2.09,8.6,41.6,53.0,Low,2+ Activities,53.1,Average,"(5, 10]",56.86,44.82,1.053,0,2.0,1,5
Precious Chukwu,STU/2018/0119,28,Male,Postgraduate,400,72.3,26.2,54.2,47.8,2.28,8.8,32.2,76.5,High,1 Activity,50.0,Average,"(5, 10]",42.8,40.72,0.552,2,1.0,0,4
Halima Danjuma,STU/2018/0120,16,Male,Undergraduate,300,47.8,63.2,53.1,59.4,1.67,31.0,79.8,59.7,Low,,48.1,Pass,"(30, 35]",58.21,64.57,0.959,0,,0,3
Aisha Nwosu,STU/2023/0121,24,Male,HND,400,51.2,63.6,40.5,81.5,3.08,26.4,47.8,53.4,High,2+ Activities,55.5,Average,"(25, 30]",58.83,48.06,1.081,2,2.0,0,4
Emeka Anikulapo,STU/2020/0122,22,Female,Undergraduate,100,56.8,70.0,46.0,86.5,3.04,0.6,8.3,59.7,Medium,1 Activity,59.0,Average,"(0, 5]",64.53,21.39,1.063,1,1.0,1,1
Vivian Bello,STU/2021/0123,24,Male,Undergraduate,400,52.2,70.1,34.8,57.8,4.36,0.0,76.2,85.7,Medium,,57.4,Average,,52.9,53.76,0.61,1,,0,4
Mercy Chukwu,STU/2020/0124,23,Male,Undergraduate,100,70.1,89.9,32.7,38.5,3.7,13.3,44.0,55.1,Medium,,55.8,Average,"(10, 15]",54.17,47.46,0.966,1,,0,1
Stella Adeyemi,STU/2023/0125,16,Female,Undergraduate,400,61.1,27.1,96.7,51.8,2.29,29.3,69.4,61.5,High,,59.6,Average,"(25, 30]",61.12,62.8,0.978,2,,1,4
Ibrahim Obi,STU/2021/0126,27,Male,Postgraduate,200,71.4,36.3,60.6,96.5,3.79,19.3,82.1,90.4,High,2+ Activities,68.9,Good,"(15, 20]",61.07,68.9,0.668,2,2.0,0,2
Chidinma Adeleke,STU/2022/0127,23,Female,Postgraduate,400,83.7,69.9,84.3,52.8,1.88,13.7,59.7,55.4,Medium,1 Activity,66.1,Good,"(10, 15]",71.39,59.53,1.266,1,1.0,1,4
